match_id,frame,timestamp_s,track_id,name,team,pitch_x,pitch_y,speed_ms,speed_kmh,acceleration,bbox_x1,bbox_y1,bbox_x2,bbox_y2
match_001,0,0.0,1,player,,51.655,56.196,0.0,0.0,0.0,816,515,836,555
match_001,0,0.0,2,player,,48.077,56.188,0.0,0.0,0.0,724,510,744,556
match_001,0,0.0,3,player,,51.154,24.216,0.0,0.0,0.0,791,380,807,411
match_001,0,0.0,4,player,,47.991,19.433,0.0,0.0,0.0,742,367,753,398
match_001,0,0.0,6,player,,28.968,37.726,0.0,0.0,0.0,354,423,373,462
match_001,0,0.0,7,player,,69.654,46.622,0.0,0.0,0.0,1207,449,1224,494
match_001,0,0.0,8,player,,53.147,33.189,0.0,0.0,0.0,833,403,845,440
match_001,0,0.0,9,player,,62.069,22.343,0.0,0.0,0.0,973,377,983,404
match_001,0,0.0,10,player,,60.302,47.564,0.0,0.0,0.0,1005,461,1021,501
match_001,0,0.0,11,player,,75.601,27.428,0.0,0.0,0.0,1217,385,1230,417
match_001,0,0.0,12,player,,65.165,32.083,0.0,0.0,0.0,1052,401,1064,434
match_001,0,0.0,13,player,,74.93,17.764,0.0,0.0,0.0,1164,361,1175,390
match_001,0,0.0,14,player,,38.179,27.773,0.0,0.0,0.0,567,391,578,424
match_001,0,0.0,15,player,,41.813,30.36,0.0,0.0,0.0,625,399,639,432
match_001,1,0.001,1,player,,51.616,56.195,0.974,3.505,0.0,815,515,835,555
match_001,1,0.001,2,player,,48.038,56.186,0.973,3.502,0.0,723,510,743,556
match_001,1,0.001,3,player,,51.095,24.213,1.486,5.349,0.0,790,380,806,411
match_001,1,0.001,4,player,,47.929,19.43,1.562,5.623,0.0,741,367,752,398
match_001,1,0.001,6,player,,28.918,37.724,1.266,4.557,0.0,353,423,372,462
match_001,1,0.001,7,player,,69.609,46.62,1.13,4.068,0.0,1206,449,1223,494
match_001,1,0.001,8,player,,53.105,32.91,7.069,25.45,0.0,832,403,845,439
match_001,1,0.001,9,player,,62.008,22.339,1.517,5.46,0.0,972,377,982,404
match_001,1,0.001,10,player,,60.258,47.562,1.113,4.008,0.0,1004,461,1020,501
match_001,1,0.001,11,player,,75.544,27.425,1.437,5.172,0.0,1216,385,1229,417
match_001,1,0.001,12,player,,65.111,32.08,1.361,4.901,0.0,1051,401,1063,434
match_001,1,0.001,13,player,,74.867,17.761,1.591,5.727,0.0,1163,361,1174,390
