match_id,frame,timestamp_s,track_id,name,team,pitch_x,pitch_y,speed_ms,speed_kmh,acceleration,bbox_x1,bbox_y1,bbox_x2,bbox_y2
match_002,3,0.003,9,player,,64.593,3.246,5.466,19.676,-183.163,964,342,992,359
match_002,4,0.004,1,player,,57.17,29.63,4.199,15.115,-69.956,894,388,922,427
match_002,4,0.004,2,player,,39.275,40.553,12.635,45.487,151.973,545,427,578,472
match_002,4,0.004,3,player,,46.099,9.011,1.729,6.225,-249.68,711,338,733,373
match_002,4,0.004,4,player,,54.391,23.698,11.416,41.097,21.145,841,367,865,409
match_002,4,0.004,5,player,,75.779,25.796,10.512,37.844,-227.338,1206,368,1231,412
match_002,4,0.004,7,player,,28.119,6.171,5.322,19.159,-165.845,457,330,479,369
match_002,4,0.004,8,player,,27.542,24.363,1.481,5.331,-192.01,387,371,409,415
match_002,4,0.004,10,player,,76.402,9.274,11.572,41.659,-16.167,1148,329,1171,370
match_002,4,0.004,13,player,,54.397,5.686,5.348,19.252,-172.361,829,332,852,365
match_002,4,0.004,14,player,,24.573,22.185,12.38,44.57,195.395,347,366,367,409
match_002,4,0.004,15,player,,60.686,11.149,3.391,12.207,-249.094,923,338,949,376
match_002,4,0.004,16,player,,80.367,12.208,13.472,48.5,37.249,1219,339,1238,376
match_002,4,0.004,17,player,,65.487,10.962,12.068,43.443,216.405,996,335,1016,375
match_002,4,0.004,18,player,,38.373,16.245,1.612,5.805,-220.133,587,356,610,391
match_002,4,0.004,20,player,,59.801,5.984,14.393,51.815,-3.121,905,327,927,365
match_002,4,0.004,9,player,,64.236,3.737,15.187,54.673,243.036,961,344,988,360
match_002,5,0.005,1,player,,56.915,29.314,10.128,36.46,148.23,889,387,918,426
match_002,5,0.005,2,player,,39.097,40.317,7.389,26.599,-131.167,542,426,575,471
match_002,5,0.005,3,player,,45.892,8.999,5.187,18.675,86.46,709,336,730,373
match_002,5,0.005,4,player,,54.212,23.689,4.483,16.138,-173.322,838,366,862,409
match_002,5,0.005,5,player,,75.757,25.46,8.428,30.341,-52.103,1203,367,1229,411
match_002,5,0.005,7,player,,27.86,5.199,25.136,90.489,495.346,456,329,478,367
match_002,5,0.005,8,player,,27.521,24.03,8.338,30.017,171.432,388,370,411,414
match_002,5,0.005,10,player,,76.402,9.274,0.0,0.0,-289.301,1148,329,1170,370
match_002,5,0.005,13,player,,54.346,5.193,12.394,44.618,176.155,828,331,851,364
match_002,5,0.005,14,player,,24.694,22.191,3.031,10.912,-233.732,350,365,369,409
match_002,5,0.005,15,player,,60.618,11.145,1.696,6.104,-42.385,923,338,947,376
match_002,5,0.005,16,player,,80.233,12.201,3.359,12.094,-252.82,1217,338,1236,376
match_002,5,0.005,17,player,,65.352,10.955,3.398,12.231,-216.75,994,332,1014,375
match_002,5,0.005,18,player,,38.329,15.846,10.034,36.123,210.542,587,356,609,390
match_002,5,0.005,20,player,,59.517,5.968,7.113,25.606,-182.007,901,327,923,365
match_002,5,0.005,9,player,,64.099,4.237,12.946,46.607,-56.018,960,342,987,361
match_002,6,0.006,1,player,,56.747,29.306,4.214,15.17,-147.848,886,386,914,426
match_002,6,0.006,2,player,,38.968,40.082,6.716,24.179,-16.811,540,426,573,470
match_002,6,0.006,3,player,,45.839,9.451,11.376,40.953,154.707,707,335,729,374
match_002,6,0.006,4,player,,53.914,23.674,7.472,26.9,74.735,834,367,857,409
match_002,6,0.006,5,player,,75.604,25.787,9.038,32.537,15.249,1202,368,1228,412
match_002,6,0.006,7,player,,27.812,5.677,12.014,43.252,-328.032,455,328,475,368
match_002,6,0.006,8,player,,27.699,24.039,4.458,16.05,-96.992,390,370,414,414
match_002,6,0.006,10,player,,76.333,9.27,1.726,6.214,43.156,1147,329,1170,370
match_002,6,0.006,13,player,,54.275,5.189,1.791,6.446,-265.084,827,332,850,364
match_002,6,0.006,14,player,,24.936,22.203,6.062,21.823,75.768,354,365,372,409
match_002,6,0.006,15,player,,60.528,10.695,11.483,41.337,244.677,922,339,945,375
match_002,6,0.006,16,player,,80.293,11.761,11.11,39.995,193.762,1215,338,1235,375
match_002,6,0.006,17,player,,65.151,11.389,11.963,43.067,214.137,992,334,1013,376
match_002,6,0.006,18,player,,38.264,15.842,1.619,5.828,-210.38,586,355,609,390
match_002,6,0.006,20,player,,59.233,5.952,7.114,25.61,0.026,896,327,920,365
match_002,6,0.006,9,player,,64.106,4.74,12.573,45.263,-9.335,960,341,988,362
match_002,7,0.007,1,player,,56.579,29.298,4.214,15.172,0.01,883,386,912,426
match_002,7,0.007,2,player,,38.771,40.072,4.918,17.706,-44.952,536,426,568,470
match_002,7,0.007,3,player,,45.701,9.444,3.444,12.399,-198.293,705,335,727,374
match_002,7,0.007,4,player,,53.735,23.665,4.484,16.142,-74.709,831,367,853,409
match_002,7,0.007,5,player,,75.335,26.107,10.429,37.543,34.759,1199,368,1226,413
match_002,7,0.007,7,player,,27.67,5.67,3.564,12.831,-211.259,454,328,473,368
match_002,7,0.007,8,player,,27.699,24.039,0.0,0.0,-111.46,390,371,415,414
match_002,7,0.007,10,player,,76.264,9.266,1.726,6.214,-0.005,1146,329,1169,370
match_002,7,0.007,13,player,,54.132,5.181,3.581,12.893,44.769,826,331,847,364
match_002,7,0.007,14,player,,25.147,22.558,10.329,37.184,106.679,356,365,375,410
match_002,7,0.007,15,player,,60.392,10.687,3.406,12.26,-201.926,919,339,944,375
match_002,7,0.007,16,player,,80.159,11.753,3.373,12.144,-193.408,1213,337,1234,375
match_002,7,0.007,17,player,,65.019,11.823,11.349,40.855,-15.361,989,336,1013,377
match_002,7,0.007,18,player,,38.199,15.839,1.619,5.828,0.0,585,354,607,390
match_002,7,0.007,20,player,,58.877,5.933,8.894,32.017,44.494,892,327,915,365
match_002,7,0.007,9,player,,63.971,5.23,12.722,45.801,3.739,959,339,988,363
match_002,8,0.008,1,player,,56.387,29.591,8.765,31.553,113.755,879,386,909,427
match_002,8,0.008,2,player,,38.657,40.296,6.288,22.636,34.236,534,424,565,471
match_002,8,0.008,3,player,,45.649,9.892,11.28,40.608,195.899,704,337,726,375
match_002,8,0.008,4,player,,53.615,23.658,2.99,10.762,-37.36,828,367,852,409
match_002,8,0.008,5,player,,75.277,26.104,1.458,5.249,-224.265,1197,368,1225,413
match_002,8,0.008,7,player,,27.574,5.184,12.384,44.583,220.502,454,329,472,367
match_002,8,0.008,8,player,,27.818,24.045,2.972,10.699,74.301,391,371,417,414
match_002,8,0.008,10,player,,76.264,9.266,0.0,0.0,-43.151,1145,329,1169,370
match_002,8,0.008,13,player,,54.08,4.683,12.508,45.03,223.171,825,331,845,363
match_002,8,0.008,14,player,,25.388,22.571,6.038,21.738,-107.266,360,366,379,410
match_002,8,0.008,15,player,,60.324,10.684,1.703,6.131,-42.565,918,339,942,375
match_002,8,0.008,16,player,,80.091,11.75,1.687,6.073,-42.166,1211,336,1233,375
match_002,8,0.008,17,player,,64.884,11.816,3.37,12.131,-199.469,988,338,1011,377
match_002,8,0.008,18,player,,38.199,15.839,0.0,0.0,-40.472,586,354,607,390
match_002,8,0.008,20,player,,58.664,5.921,5.337,19.213,-88.917,888,327,913,365
match_002,8,0.008,9,player,,63.907,5.72,12.355,44.479,-9.182,958,339,988,364
match_002,9,0.009,1,player,,56.354,29.286,7.655,27.558,-27.74,879,386,907,426
match_002,9,0.009,2,player,,38.624,40.065,5.827,20.977,-11.517,534,423,565,470
match_002,9,0.009,3,player,,45.786,9.899,3.43,12.347,-196.257,706,338,728,375
match_002,9,0.009,4,player,,53.69,23.318,8.721,31.397,143.298,829,367,853,408
match_002,9,0.009,5,player,,75.335,26.107,1.458,5.249,0.0,1199,367,1225,413
match_002,9,0.009,7,player,,27.717,5.191,3.58,12.887,-220.11,457,330,474,367
match_002,9,0.009,8,player,,28.115,24.06,7.429,26.746,111.434,396,371,422,414
match_002,9,0.009,10,player,,76.288,9.731,11.627,41.856,290.668,1147,329,1172,371
